,price,Days on Market,Year Built,sqft,bed,bath,zipcode
28022,1535,,,995,2,2,78660
28023,1535,,,995,2,2,78660
28024,1555,,,995,2,2,78660
28025,1535,,,995,2,2,78660
28026,1560,,,995,2,2,78660
28027,1595,,,995,2,2,78660
28028,1630,,,995,2,2,78660
28029,1535,,,995,2,2,78660
28030,1630,,,995,2,2,78660
28031,1535,,,995,2,2,78660
28032,1575,,,995,2,2,78660
28033,1535,,,995,2,2,78660
28034,1535,,,995,2,2,78660
28044,799,27.0,,378,0,1,78722
28045,849,27.0,,378,0,1,78722
28046,829,27.0,,394,0,1,78722
28047,829,27.0,,394,0,1,78722
28048,874,27.0,,378,0,1,78722
28049,829,27.0,,394,0,1,78722
28050,874,27.0,,378,0,1,78722
28052,1139,27.0,,620,1,1,78722
28053,929,27.0,,610,1,1,78722
28054,869,27.0,,549,1,1,78722
28055,869,27.0,,549,1,1,78722
28056,869,27.0,,549,1,1,78722
28057,919,27.0,,495,1,1,78722
28058,899,27.0,,562,1,1,78722
28059,929,27.0,,610,1,1,78722
28060,869,27.0,,537,1,1,78722
28061,919,27.0,,495,1,1,78722
28062,869,27.0,,537,1,1,78722
28063,1139,27.0,,670,1,1,78722
28064,899,27.0,,562,1,1,78722
28065,929,27.0,,610,1,1,78722
28067,1049,27.0,,832,2,1,78722
28068,1259,27.0,,691,2,1,78722
28069,1049,27.0,,832,2,1,78722
28070,1149,27.0,,747,2,1,78722
28071,1259,27.0,,691,2,1,78722
28072,1149,27.0,,906,2,1,78722
28073,1049,27.0,,832,2,1,78722
28074,1199,27.0,,807,2,1,78722
28076,1114,,,581,0,1,78729
28077,950,,,581,0,1,78729
28078,1114,,,581,0,1,78729
28079,950,,,581,0,1,78729
28080,1114,,,581,0,1,78729
28082,1050,,,720,1,1,78729
28083,1321,,,720,1,1,78729
28084,1321,,,720,1,1,78729
28085,1050,,,720,1,1,78729
28086,999,,,630,1,1,78729
28087,1204,,,630,1,1,78729
28088,1204,,,630,1,1,78729
28089,1204,,,630,1,1,78729
28090,999,,,630,1,1,78729
28091,1321,,,720,1,1,78729
28093,1501,,,923,2,2,78729
28094,1501,,,923,2,2,78729
28096,1149,36.0,,785,1,1,78759
28097,1037,36.0,,761,1,1,78759
28098,1069,36.0,,785,1,1,78759
28099,1105,36.0,,761,1,1,78759
28100,1164,36.0,,785,1,1,78759
